tconst,nconst
tt0097722,nm0791395
tt0097722,nm0858106
tt0097722,nm0878496
tt0097733,nm0000154
tt0097733,nm0000418
tt0097733,nm0000475
tt0097733,nm0000582
tt0097733,nm0001679
tt0097733,nm0005428
tt0097733,nm0522306
tt0097733,nm0000722
tt0097733,nm0001149
tt0097733,nm0434676
tt0097733,nm0640299
tt0097757,nm0055549
tt0097757,nm0072533
tt0097757,nm0166256
tt0097757,nm0547465
tt0097757,nm0566052
tt0097757,nm0615780
tt0097757,nm0004983
tt0097757,nm0041281
tt0097757,nm0140946
tt0097757,nm0250252
tt0097757,nm0550318
tt0097757,nm0942787
tt0097958,nm0000331
tt0097958,nm0000350
tt0097958,nm0000496
tt0097958,nm0001642
tt0097958,nm0154819
tt0097958,nm0283565
tt0097958,nm0301959
tt0097958,nm0000455
tt0097958,nm0002663
tt0097958,nm0005368
tt0097958,nm0550855
tt0097958,nm0709907
tt0098258,nm0000131
tt0098258,nm0000363
tt0098258,nm0000666
tt0098258,nm0001081
tt0098258,nm0001746
tt0098258,nm0111857
tt0098258,nm0332410
tt0098258,nm0364385
tt0098258,nm0781899
tt0098258,nm0907605
tt0098258,nm0001498
tt0098319,nm0002018
tt0098319,nm0072099
tt0098319,nm0182688
tt0098319,nm0525921
tt0098319,nm0571549
tt0098319,nm0824102
tt0098319,nm0172604
tt0098319,nm0318150
tt0098319,nm0384060
tt0098319,nm0444208
tt0098319,nm0843401
tt0098575,nm0000103
tt0098575,nm0000147
tt0098575,nm0000470
tt0098575,nm0000672
tt0098575,nm0000906
tt0098575,nm0001794
tt0098575,nm0086262
tt0098575,nm0369592
tt0098575,nm0680795
tt0098575,nm0001232
tt0098575,nm0236902
tt0098575,nm0571435
tt0098635,nm0000212
tt0098635,nm0000345
tt0098635,nm0001661
tt0098635,nm0285885
tt0098635,nm0658252
tt0098635,nm0675484
tt0098635,nm0000402
tt0098635,nm0456124
tt0098635,nm0629264
tt0099077,nm0000134
tt0099077,nm0000542
tt0099077,nm0001413
tt0099077,nm0489623
tt0099077,nm0000245
tt0099077,nm0001334
tt0099077,nm0001508
tt0099077,nm0238541
tt0099077,nm0382263
